epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7191.93,1.9725,3.30939,1.26392,0.54891,0.54201,0.57036,0.38856,1.59405,2.11493,1.03116,0.000300295,0.000300295,0.000300295
2,14336,1.62971,1.36812,1.01606,0.71367,0.63512,0.69592,0.46918,1.43328,0.9179,0.97867,0.000579404,0.000579404,0.000579404
3,21547.5,1.4597,0.86852,0.97969,0.71159,0.70488,0.73809,0.49442,1.34755,0.74323,0.95731,0.000834516,0.000834516,0.000834516
4,28744,1.36274,0.74733,0.96517,0.82489,0.77103,0.83329,0.55897,1.28443,0.6841,0.94557,0.000801011,0.000801011,0.000801011
5,35938.3,1.31921,0.69441,0.9566,0.86352,0.8381,0.87532,0.59395,1.25565,0.65811,0.94097,0.000765014,0.000765014,0.000765014
6,43175.4,1.27777,0.6678,0.94749,0.88091,0.8358,0.88347,0.60759,1.23091,0.63768,0.93427,0.000729018,0.000729018,0.000729018
7,50313.7,1.2414,0.64754,0.94532,0.89064,0.83184,0.87526,0.61627,1.16512,0.61687,0.92512,0.000693022,0.000693022,0.000693022
8,57484.9,1.21882,0.635,0.94083,0.90531,0.85366,0.89519,0.62479,1.17177,0.60818,0.92658,0.000657025,0.000657025,0.000657025
9,64784.1,1.20175,0.62557,0.93475,0.88709,0.83728,0.88714,0.63014,1.14831,0.59948,0.91982,0.000621029,0.000621029,0.000621029
10,72140.2,1.1796,0.61239,0.93134,0.90628,0.84771,0.89371,0.64702,1.09432,0.58055,0.91128,0.000585032,0.000585032,0.000585032
11,79451.9,1.15477,0.59868,0.92519,0.89631,0.84338,0.88731,0.62873,1.13999,0.58564,0.92375,0.000549036,0.000549036,0.000549036
12,86709.1,1.14014,0.58845,0.92477,0.91305,0.85279,0.90067,0.65857,1.04674,0.54679,0.90063,0.00051304,0.00051304,0.00051304
13,94030.7,1.11491,0.57442,0.91961,0.90757,0.8491,0.89898,0.66923,1.03053,0.54906,0.90255,0.000477043,0.000477043,0.000477043
14,101352,1.09571,0.56739,0.91596,0.91351,0.8587,0.90264,0.67666,0.97193,0.52135,0.8899,0.000441047,0.000441047,0.000441047
15,108683,1.08215,0.55964,0.91393,0.89859,0.86106,0.90493,0.69406,0.96269,0.51579,0.88666,0.00040505,0.00040505,0.00040505
16,113075,1.02991,0.57399,0.90622,0.91213,0.86032,0.90825,0.68524,0.97993,0.52797,0.88541,0.000369054,0.000369054,0.000369054
17,117389,0.96237,0.52239,0.89379,0.90396,0.86745,0.91254,0.70261,0.91803,0.50489,0.87604,0.000333058,0.000333058,0.000333058
18,121702,0.9254,0.50722,0.88554,0.91357,0.86987,0.91914,0.71779,0.875,0.48672,0.8657,0.000297061,0.000297061,0.000297061
19,126019,0.88939,0.49171,0.87855,0.90703,0.87665,0.92035,0.72938,0.84491,0.47367,0.86266,0.000261065,0.000261065,0.000261065
20,130340,0.87346,0.48398,0.87551,0.93019,0.86766,0.92469,0.73719,0.82107,0.46442,0.85704,0.000225068,0.000225068,0.000225068
21,134687,0.84936,0.47478,0.87135,0.92038,0.88119,0.92721,0.74736,0.79662,0.45498,0.85244,0.000189072,0.000189072,0.000189072
22,139068,0.83273,0.46864,0.8668,0.92922,0.88985,0.93301,0.75227,0.78529,0.45092,0.84981,0.000153076,0.000153076,0.000153076
23,143442,0.81195,0.4608,0.86371,0.90871,0.89182,0.93043,0.75495,0.77317,0.44653,0.84712,0.000117079,0.000117079,0.000117079
24,147818,0.80235,0.45707,0.86153,0.92271,0.89012,0.93054,0.75913,0.75592,0.43925,0.84501,8.10828e-05,8.10828e-05,8.10828e-05
25,152130,0.78932,0.45203,0.85933,0.92933,0.89338,0.93342,0.75884,0.75002,0.43712,0.84387,4.50864e-05,4.50864e-05,4.50864e-05
